class_id;method_name;method_signature
78_0;split_sentences;split_sentences(self, sentences_string)
17_5;get_upcoming_events;get_upcoming_events(self, num_events)
18_5;_convert_key;_convert_key(self, key)
93_1;cosine_similarities;cosine_similarities(vector_1, vectors_all)
62_2;process;process(self, string_list)
51_1;fleiss_kappa;fleiss_kappa(testData, N, k, n)
72_1;findall;findall(self, pattern, text)
22_3;get_all_major;get_all_major(self)
19_0;generate_primes;generate_primes(self)
94_2;purchase_item;purchase_item(self, item_name)
85_5;auto_check_conflict;auto_check_conflict(self)
20_3;get_messages;get_messages(self, username)
32_0;caesar_decipher;caesar_decipher(self, ciphertext, shift)
53_1;find_longest_word;find_longest_word(self, sentence)
38_2;process_excel_data;process_excel_data(self, N, save_file_name)
97_1;is_valid_input;is_valid_input(self, textnum)
30_4;get_std_deviation;get_std_deviation(self)
22_1;register_class;register_class(self, student_name, class_name)
66_1;is_hex_char;is_hex_char(char)
46_0;interpolate_1d;interpolate_1d(x, y, x_interp)
61_0;add_song;add_song(self, song)
4_1;add_course_score;add_course_score(self, name, course, score)
53_0;add_word;add_word(self, word)
88_0;cos;cos(self, x)
72_7;split_sentences;split_sentences(self, text)
75_1;remove_item;remove_item(self, item, quantity=1)
84_0;read_file_as_json;read_file_as_json(self)
60_2;search_tickets_by_customer;search_tickets_by_customer(self, customer_name)
20_0;add_user;add_user(self, username)
74_3;send;send(self, info)
81_2;correlation;correlation(x, y)
29_1;median;median(self, data)
28_1;insert_into_database;insert_into_database(self, table_name, data)
89_0;_generate_cards;_generate_cards(self)
3_0;count;count(n, m=None)
21_1;remove_course;remove_course(self, course)
51_0;kappa;kappa(testData, k)
98_1;write_xml;write_xml(self, file_name)
77_3;eat_food;eat_food(self)
59_0;add_movie;add_movie(self, name, price, start_time, end_time, n)
57_0;mrr;mrr(data)
41_2;_check_five_in_a_row;_check_five_in_a_row(self, row, col, direction)
7_1;check_balanced_brackets;check_balanced_brackets(self)
76_1;sign_in;sign_in(self, username)
97_0;text2int;text2int(self, textnum)
2_0;parse_arguments;parse_arguments(self, command_string)
8_1;withdraw;withdraw(self, amount)
26_2;process_csv_data;process_csv_data(self, N, save_file_name)
74_4;show;show(self, type)
47_0;is_valid;is_valid(self)
