;Unnamed: 0.1;Unnamed: 0;Topic;Count;Name;Representation;Representative_Docs;Task;LLM-Easy (Global);LLM-Hard (Global);LLM-Easy (Llama);LLM-Hard (Llama);LLM-Easy (Deepseek);LLM-Hard (Deepseek);LLM-Easy (MagiCoder);LLM-Hard (MagiCoder);LLM-Easy (CodeGemma);LLM-Hard (CodeGemma);LLM-Easy (GPT);LLM-Hard (GPT)
0;0;0;0;20;0_game_player_map_score_cards;['game', 'player_map', 'score', 'cards', 'check', 'points', 'if', 'wins', 'indicating', 'row'];"['Determines the winner of a game by comparing the hand values of ""player_hand"" and ""dealer_hand"". If both players have hand values that are equal to or less than 21, the winner is the one whose hand value is closer to 21. Otherwise, the winner is the one with the lower hand value. Return \'Dealer wins\' or \'Player wins\'.', 'Calculate the value of the poker cards stored in the ""hand"" list according to the rules of the Blackjack Game. If the card is a digit, its value is added to the total hand value. Value of \'J\', \'Q\', or \'K\' is 10, while Aces are worth 11. If the total hand value exceeds 21 and there are Aces present, one Ace is treated as having a value of 1 instead of 11, until the hand value is less than or equal to 21, or all Aces have been counted as a value of 1.', 'Move the player in the ""PushBoxGame"" class based on the specified ""direction"" and check if the game is won. The ""direction"" parameter can be \'w\', \'s\', \'a\', or \'d\' representing up, down, left, or right respectively. Return ""True"" if the game is won, otherwise return ""False"".']";33, 38, 41, 60, 61, 75, 79, 84, 85, 88, 90, 113, 125, 158, 162, 186, 188, 189, 194, 197;33,38,41,60,79,84,85,88,113,125,158,162,188,194;61,75,90,186,189,197;33,38,41,60,79,84,85,88,113,125,158,162,186,188,194;61,75,90,189,197;33,38,41,60,79,84,88,113,125,158,162,188,194;61,75,85,90,186,189,197;33,38,41,60,79,84,85,88,113,125,158,162,188,189,194;61,75,90,186,197;33,38,41,60,79,84,85,88,113,125,158,162,186,188,194,197;61,75,90,189;33,38,41,60,61,79,84,85,88,113,125,158,162,188,194;75,90,186,189,197
1;1;1;1;17;1_cash_balance_amount_exchange_currency;['cash_balance', 'amount', 'exchange', 'currency', 'calculate_total', 'account', 'addition', 'quantity', 'stock', 'customer'];"['Sell a specific ""stock"" and update ""self.portfolio"" by removing it and adjusting ""self.cash_balance"" accordingly. The ""stock"" parameter is a dictionary with keys ""name"", ""price"", and ""quantity"". Return ""True"" if the stock was sold successfully, otherwise ""False"" if the operation failed due to insufficient stock quantity.', 'Withdraw a specified ""amount"" from the bank account, reducing the current balance. If ""amount"" is negative, raise a ""ValueError"" with the message ""Invalid amount"". If ""amount"" exceeds the current balance, raise a ""ValueError"" with the message ""Insufficient balance."". Return the updated balance.', 'Purchase a product specified by ""item_name"" from the vending machine and update the balance accordingly. Return the updated balance if the purchase is successful, otherwise return ""False"" if the product is out of stock or insufficient balance.']";9, 25, 46, 62, 65, 86, 87, 95, 100, 107, 109, 119, 135, 143, 145, 147, 168;9,25,46,62,65,86,87,95,100,107,109,119,135,143,145,147,168;;46,62,65,86,95,100,107,109,119,135,143,145,147,168;9,25,87;9,25,62,65,86,87,95,100,107,109,119,135,143,145,147,168;46;9,25,46,62,65,86,87,95,100,107,109,135,143,145,147,168;119;9,25,46,62,65,86,87,95,100,107,109,119,135,143,145,147,168;;9,46,62,65,86,87,95,100,107,109,119,135,143,145,147,168;25
2;2;2;2;13;2_ip_address_ipv4_ip_html_text;['ip_address', 'ipv4', 'ip', 'html_text', 'command_string', 'check', '_convert_type', 'string', 'code', 'octets'];"['Determine if the IP address is valid by checking if it consists of four decimal octets separated by dots (\'.\'). Each octet should be a number from 0 to 255. Return ""True"" if the IP address is valid, otherwise return ""False"".', 'Parse the given command string ""command_string"" into arguments and check if all required arguments are present. Use the ""_convert_type"" function to ensure each argument is stored with the correct type in the ""arguments"" dictionary. Return a tuple where the first element is ""True"" if all required arguments are present, otherwise ""False"", and the second element is ""None"" if no arguments are missing, otherwise a set of missing argument names.', 'Check if the given IP address ""ip_address"" is a valid IPv4 address. Return ""True"" if the IP address is valid, otherwise return ""False"".']";29, 45, 48, 49, 94, 103, 131, 146, 156, 159, 164, 182, 198;48,49,94,103,131,159,164,182,198;29,45,146,156;48,49,94,103,131,146,159,164,182,198;29,45,156;48,49,94,103,131,159,164,182,198;29,45,146,156;48,49,94,103,131,146,159,164,182,198;29,45,156;48,49,94,103,131,159,164,182,198;29,45,146,156;48,94,103,131,146,159,164,182,198;29,45,49,156
3;3;3;3;12;3_interpolation_calculate_computed_compute;['interpolation', 'calculate', 'computed', 'compute', 'x_interp', 'calculated', 'interpolated', 'vector_1', 'vectors', 'coefficient'];"[' Calculate the calorie intake based on ""BMR"" (Basal Metabolic Rate) and the user\'s condition. The ""BMR"" is computed differently depending on the user\'s ""sex"". For a male, the ""BMR"" is calculated with the formula `10 * self.weight + 6.25 * self.height - 5 * self.age + 5`, and for a female, it is `10 * self.weight + 6.25 * self.height - 5 * self.age - 161`. Depending on the user\'s condition, based on an integer 1, -1 or 0, if too fat, multiply ""BMR"" by 1.2; if too thin, multiply by 1.6; if normal, multiply by 1.4. Return the calculated calorie intake as a float.', 'Perform linear interpolation on two-dimensional data using the given coordinates and values. Specifically, for each interpolation point specified by ""x_interp"" and ""y_interp"", compute the interpolated z-value using the surrounding original data points provided in ""x"", ""y"", and ""z"".', 'Compute the Mean Reciprocal Rank (MRR) of the input data. The MRR measures the average of the reciprocal ranks of results. The input ""data"" should be a tuple representing a single list of binary values and its corresponding total count, or a list of such tuples. Each binary value (1 or 0) corresponds to whether an answer is correct or incorrect. The function returns the mean reciprocal rank if ""data"" is a tuple, and the average MRR across all provided tuples if ""data"" is a list. The second return value is a list containing the reciprocal ranks for each individual tuple in the input.']";3, 5, 19, 30, 36, 40, 50, 96, 140, 165, 181, 183;3,96,181,183;5,19,30,36,40,50,140,165;3,181,183;5,19,30,36,40,50,96,140,165;3,30,96,165,181,183;5,19,36,40,50,140;3,96,165,181,183;5,19,30,36,40,50,140;3,96,181,183;5,19,30,36,40,50,140,165;3,30,96,181,183;5,19,36,40,50,140,165
4;4;4;4;11;4_stop_word_list_word_list_sentences_string_punctuations;['stop_word_list', 'word_list', 'sentences_string', 'punctuations', 'punctuation', 'lemmatize', 'string_list', 'tokenize', 'word', 'substring'];"['Remove punctuations from the input ""sentence"", tokenize it, assign part-of-speech tags to each word, lemmatize each word based on its part-of-speech, and return the list of lemmatized words.', 'Construct a stop word list including ""a"", ""an"", ""the"", and remove all the stop words from the list of strings ""string_list"". Return a list of words without stop words.', 'Remove punctuation marks and split a sentence ""sentence"" into words. Find the longest word from the split that exists in the ""self.word_list"". Words are case-insensitive. If no word in ""self.word_list"" matches, return an empty string """".']";0, 4, 13, 22, 24, 71, 83, 115, 116, 153, 180;0,4,13,22,24,83,116,180;71,115,153;4,13,22,83,116;0,24,71,115,153,180;0,4,13,22,24,83,116,153,180;71,115;0,4,13,22,116,180;24,71,83,115,153;0,4,13,22,24,83,116,180;71,115,153;0,4,13,22,24,83,116,153,180;71,115
5;5;5;5;10;5_save_file_name_output_file_name_file_name_output_filepath;['save_file_name', 'output_file_name', 'file_name', 'output_filepath', 'file', '_process', 'file_path', 'csv', 'output_path', 'files'];"['Modify the data in XML elements by capitalizing the elements\' text and write the updated XML data to a new file specified by ""file_name"". Return ""True"" if the write operation is successful, otherwise ""False"".', 'Write data to the specified Excel file by accepting two parameters ""data"" and ""file_name"". The ""data"" parameter should contain a list of tuples representing rows, and the ""file_name"" parameter should be a string indicating the file name of the Excel file to write to. Return 1 if the writing process is successful, otherwise return 0.', 'Write the XML data to the specified file ""file_name"". Return ""True"" if the write operation is successful, otherwise return ""False"".']";14, 37, 47, 63, 73, 111, 118, 167, 176, 192;37,63,73,111,167,176,192;14,47,118;37,63,111,167,176,192;14,47,73,118;37,63,73,111,167,176,192;14,47,118;37,63,73,111,167,176,192;14,47,118;37,63,73,111,118,167,176,192;14,47;37,63,73,111,167,176,192;14,47,118
6;6;6;6;9;6_permutations_algorithm_combinations_factorial;['permutations', 'algorithm', 'combinations', 'factorial', 'counts', 'count', 'calculate', 'numbers', 'division', 'partitioning'];"['Counts the total number of all possible arrangements by choosing at least 1 item and at most ""n"" items from ""n"" items. It returns the cumulative count of these arrangements.', 'Calculate the number of all possible combinations for a given number of elements ""n"". Return an integer indicating the number of combinations or False if ""n"" is negative or greater than 63. If the number of combinations equals 2^63-1, return ""float(\'inf\')"".', 'Counts the number of arrangements by choosing ""m"" items from ""n"" items (permutations). If ""m"" is not provided or ""n"" equals ""m"", returns the factorial of ""n"".']";8, 34, 72, 98, 144, 154, 169, 187, 196;8,72,98,144,154,169,187;34,196;8,72,98,144,154,169,187;34,196;8,34,98,144,154,169,187;72,196;8,34,72,98,144,154,169,187;196;8,98,144,154,187;34,72,169,196;8,72,98,144,154,169,187,196;34
7;7;7;7;9;7_calculate_decimal_median_calculated;['calculate', 'decimal', 'median', 'calculated', 'data', 'precision', 'kurtosis', 'dataset', 'compute', 'average'];"['Calculate the median of a group of data ""data"", accurate to two digits after the Decimal separator. Return the median value as a float.', 'Calculate the average value of a group of data ""data"", accurate to two digits after the decimal separator. Return the mean value as a float.', 'Compute the Mean Average Precision (MAP) of the input ""data"". MAP measures the mean of average precisions (AP) where AP is computed from the input data. The ""data"" must be either a tuple (representing actual results and ground truth number) or a list of such tuples. Each element in the tuple should represent whether an answer is correct (1) or incorrect (0), and the total count of ground truth responses. The function should return the MAP value if the input is a single tuple, or the average MAP value along with a list of individual MAP values if the input is a list of tuples.']";16, 23, 31, 59, 78, 80, 129, 163, 195;16,31,78,80,129,163;23,59,195;16,23,31,78,80,129,163;59,195;16,31,78,80,129,163;23,59,195;16,31,78,80,129,163;23,59,195;16,31,78,80,129,163;23,59,195;16,31,78,80,129,163;23,59,195
8;8;8;8;9;12_sql_select_female_under_age_table_name_query;['sql', 'select_female_under_age', 'table_name', 'query', 'database', 'select', 'generate', 'generates', 'min_age', 'table'];"['Generate the DELETE SQL statement for the specified ""table"" and optional conditions in ""where"". Return the constructed SQL query string.', 'Generate a SQL statement to select records within a specified age range using the ""min_age"" and ""max_age"" parameters. Return the generated SQL statement as a string.', 'Generate the UPDATE SQL statement based on the provided ""table"", ""data"", and ""where"" parameters. The function constructs a query that updates the specified ""table"" using the key-value pairs in ""data"", and optionally filters the records to be updated using the conditions specified in ""where"".']";74, 97, 104, 139, 142, 155, 193, 130, 166;74,155,193,130,166;97,104,139,142;74,155,193,130,166;97,104,139,142;74,104,155,193,130,166;97,139,142;74,155,193,130,166;97,104,139,142;74,155,193,130,166;97,104,139,142;74,155,193,130,166;97,104,139,142
9;9;9;9;7;9_decimal_num_hex_num_textnum_digit;['decimal_num', 'hex_num', 'textnum', 'digit', 'integer', 'decimal', 'numbers', 'number', 'convert', 'binary'];"['Convert the word string ""textnum"" to the corresponding integer string. The function should take a single parameter ""textnum"", which is a string of numbers written in words, and return a string where these textual representations are converted to their numerical equivalents.', 'Convert a number from hex format to decimal format. Accept the hex number as a string parameter ""hex_num"" and return its decimal representation as an integer.', 'Convert the input ""decimal_num"" from decimal format to binary format and return the binary representation as a string. ']";44, 70, 89, 106, 133, 136, 174;70,106,136,174;44,89,133;70,106,136,174;44,89,133;70,106,136,174;44,89,133;70,106,136,174;44,89,133;70,106,136,174;44,89,133;70,89,106,133,136,174;44
