Topic;Count;Name;Representation;Task;LLM-Easy (Global);LLM-Hard (Global);LLM-Easy (Llama);LLM-Hard (Llama);LLM-Easy (Deepseek);LLM-Hard (Deepseek);LLM-Easy (MagiCoder);LLM-Hard (MagiCoder);LLM-Easy (CodeGemma);LLM-Hard (CodeGemma);LLM-Easy (GPT);LLM-Hard (GPT)
0;17;0_words_string_split_words_string_select_words;['words_string', 'split_words', 'string', 'select_words', 'string_sequence', 'words_in_sentence', 'input', 'vowels_count', 'word', 'whitespace'];98, 101, 14, 111, 15, 17, 18, 143, 117, 118, 23, 153, 28, 158, 64, 91, 125;98, 101, 14, 111, 15, 17, 18, 143, 117, 118, 23, 153, 28, 158;64, 91, 125;101,14,15,17,18,117,23,153,28,158,91;98,111,143,118,64,125;98,101,14,111,15,17,18,143,117,118,23,153,28,158,64;91,125;98,101,14,111,15,17,18,143,117,118,23,153,28,158,64;91,125;98,101,14,15,17,18,143,117,118,23,28,158;111,153,64,91,125;98,101,14,111,15,17,18,143,117,118,23,153,28,158;64,91,125
1;12;1_integers_sums_sum_product_calculates;['integers', 'sums', 'sum_product', 'calculates', 'sum', 'integer', 'sum_to_n', 'calculate', 'computes', 'numbers'];128, 8, 114, 53, 85, 121, 122, 60, 99, 76, 83, 133;128, 8, 114, 53, 85, 121, 122, 60, 99, 83;76, 133;53,122,60;128,8,114,85,121,99,76,83,133;8,114,53,85,121,122,60,76,83;128,99,133;8,114,53,85,121,122,60,99,76,83;128,133;128,8,114,53,85,121,60;122,99,76,83,133;128,8,114,53,85,121,60,99,83,133;122,76
2;9;2_prime_length_is_prime_primes_is_multiply_prime;['prime_length', 'is_prime', 'primes', 'is_multiply_prime', 'primality', 'prime', 'largest_prime_factor', 'integers', 'integer', 'if'];96, 75, 82, 150, 25, 59, 94, 31, 127;96, 75, 82, 150, 25, 59, 94, 31;127;75,25,31;96,82,150,59,94,127;96,75,82,150,25,59,94,31,127;;96,75,82,150,25,59,94,31;127;96,82,25,59,94,31;75,150,127;96,82,150,25,59,94,31,127;75
3;8;3_sorting_sort_array_sort_sort_even;['sorting', 'sort_array', 'sort', 'sort_even', 'is_sorted', 'sort_third', 'sorts', 'strange_sort_list', 'order_by_points', 'integers'];33, 37, 70, 116, 88, 126, 145, 109;33, 37, 70, 116, 88, 126;145, 109;33,37,70,88;116,126,145,109;33,37,70,116,88,126,145;109;33,37,70,116,88,126,145;109;33,37,70,116,88,126;145,109;33,37,70,116,88,126,109;145
4;7;4_check_if_last_char_is_a_letter_cycpattern_check_string_correct_bracketing;['check_if_last_char_is_a_letter', 'cycpattern_check', 'string', 'correct_bracketing', 'file_name_check', 'substring', 'checking', 'same_chars', 'if', 'txt'];80, 154, 61, 54, 124, 141, 134;80, 154, 61, 54;124, 141, 134;80,61,54;154,124,141,134;80,154,61,54,134;124,141;80,154,61,54,134;124,141;80,154,61,54;124,141,134;80,154,61,54,141,134;124
5;6;5_decimal_to_binary_int_to_mini_roman_decimal_integer;['decimal_to_binary', 'int_to_mini_roman', 'decimal', 'integer', 'integers', 'numeral', 'truncate_number', 'numerical', 'subtracting', 'decimals'];2, 44, 79, 21, 156, 137;2, 44, 79, 21, 156;137;2,44,21;79,156,137;2,44,79,21,156;137;2,44,79,156;21,137;2,44,79,21;156,137;2,44,79,21,156;137
6;6;6_polynomials_arithmetic_do_algebra_polynomial;['polynomials', 'arithmetic', 'do_algebra', 'polynomial', 'integers', 'algebraic', 'operands', 'nonzero', 'find_zero', 'addition'];160, 138, 43, 92, 62, 32;160, 138, 43, 92, 62, 32;;138,43,62,32;160,92;160,138,43,92,62,32;;138,43,92,62,32;160;160,138,43,92,62;32;160,138,43,92,62;32
7;6;7_encode_encoded_decodes_encodes;['encode', 'encoded', 'decodes', 'encodes', 'decode_shift', 'string', 'encryption', 'alphabet', 'encode_cyclic', 'decode_cyclic'];89, 161, 162, 38, 50, 93;89, 161, 162, 38;50, 93;162,38;89,161,50,93;89,162,38,50,93;161;89,161,162,38,50,93;;89,161,162;38,50,93;89,161,162,38;50,93
8;6;8_fibonacci_sequence_get_odd_collatz_computes;['fibonacci', 'sequence', 'get_odd_collatz', 'computes', 'tribonacci', 'calculates', 'prime_fib', 'calculate', 'recursion', 'nth'];123, 46, 55, 63, 120, 39;123, 46, 55, 63;130, 39;46,55,39;123,63,120;123,46,55,39;63,12;123,46,55,63,39;120;123,63,120;46,55,39;123,46,55,63,120;39
9;5;9_find_closest_elements_grid_coordinates_2d;['find_closest_elements', 'grid', 'coordinates', '2d', 'function', 'sequence', 'numbers', 'tuples', 'integer', 'matrix'];0, 148, 20, 87, 129;0, 148, 20, 87;129;0,148,20;87,129;0,148,20,87,129;;0,148,20;87,129;0,20,87;148,129;0,148,20,87;129
